date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,latitude,longtitude,abbr
2021-10-28,Alabama,4827200.0,7163060.0,2663952.0,44.61,98.45,2187378.0,54.33,146.09,21987.0,13482.0,2750.0,0.674,32.31823,-86.902298,AL
2021-10-28,Alaska,863531.0,1140925.0,433303.0,52.51,118.04,384105.0,59.23,155.96,3482.0,2332.0,3188.0,0.757,66.160507,-153.369141,AK
2021-10-28,Arizona,8727934.0,10673230.0,4443359.0,52.91,119.91,3851270.0,61.05,146.64,34650.0,21372.0,2936.0,0.818,34.048927,-111.093735,AZ
2021-10-28,Arkansas,3216545.0,4360520.0,1743777.0,47.81,106.59,1442790.0,57.78,144.49,13147.0,7885.0,2613.0,0.738,34.799999,-92.199997,AR
2021-10-28,California,53719846.0,62407505.0,29349909.0,61.06,135.96,24126229.0,74.28,157.94,211244.0,121523.0,3076.0,0.861,36.778259,-119.417931,CA
2021-10-28,Colorado,7651943.0,8906305.0,3884030.0,61.43,132.88,3537500.0,67.45,154.66,34495.0,21788.0,3783.0,0.859,39.113014,-105.358887,CO
2021-10-28,Connecticut,5357571.0,6086525.0,2806283.0,70.56,150.27,2515556.0,78.71,170.72,25666.0,13165.0,3693.0,0.88,41.599998,-72.699997,CT
2021-10-28,Delaware,1290314.0,1672295.0,669849.0,59.7,132.51,581375.0,68.79,171.74,95.0,3072.0,3155.0,0.772,39.0,-75.5,DE
2021-10-28,Florida,28354807.0,35008925.0,14800606.0,59.57,132.02,12793276.0,68.91,163.0,99857.0,65365.0,3043.0,0.81,27.994402,-81.760254,FL
2021-10-28,Georgia,11360060.0,15557365.0,6020210.0,47.96,106.99,5091916.0,56.7,146.53,689.0,35309.0,3326.0,0.73,33.247875,-83.441162,GA
2021-10-28,Hawaii,1969150.0,2553310.0,1112385.0,59.66,139.08,844740.0,78.57,180.33,4153.0,2986.0,2109.0,0.771,19.741755,-155.844437,HI
2021-10-28,Idaho,1699050.0,2434900.0,873082.0,43.69,95.07,780855.0,48.86,136.25,7866.0,5717.0,3199.0,0.698,44.068203,-114.742043,ID
2021-10-28,Illinois,15705319.0,19187775.0,8819815.0,54.44,123.94,6898819.0,69.6,151.42,641.0,574.0,45.0,0.819,40.0,-89.0,IL
2021-10-28,Indiana,7143665.0,8990870.0,3605808.0,49.69,106.11,3345526.0,53.56,133.55,24482.0,13646.0,2027.0,0.795,40.273502,-86.126976,IN
2021-10-28,Iowa,3690242.0,4667935.0,1877314.0,55.41,116.96,1748251.0,59.5,147.95,19984.0,10892.0,3452.0,0.791,42.032974,-93.581543,IA
2021-10-28,Kansas,3304696.0,4189435.0,1812146.0,53.03,113.43,1545017.0,62.2,143.8,13501.0,8731.0,2997.0,0.789,38.5,-98.0,KS
2021-10-28,Kentucky,5282155.0,6280145.0,2801213.0,54.65,118.23,2441766.0,62.7,140.57,19993.0,12307.0,2755.0,0.841,37.839333,-84.27002,KY
2021-10-28,Louisiana,4831989.0,6130320.0,2496412.0,47.51,103.94,2208860.0,53.7,131.87,16820.0,10586.0,2277.0,0.788,30.39183,-92.329102,LA
